,volume,normalized_value,3_reg,5_reg,10_reg,20_reg,target
9,98859,0.0,-499.9999999999999,-600.0,-394.5454545454546,19.84962406015039,0
10,146975,0.0,-1449.9999999999993,-790.0000000000001,-21.818181818181806,182.03007518796994,0
11,2078262,0.9999999999998794,-549.9999999999999,100.0,618.1818181818182,180.7518796992482,1
12,442351,0.0,849.9999999999997,-1690.0000000000007,73.93939393939395,322.48120300751884,0
13,2366951,0.550561797752747,949.9999999999995,700.0000000000001,481.8181818181819,101.27819548872182,1
14,392823,0.1296296296296056,-1049.9999999999998,-690.0000000000001,-1139.3939393939397,-553.0827067669173,0
15,141851,0.32142857142845666,-100.0,-140.00000000000006,-293.33333333333337,-144.36090225563913,0
16,153578,0.6666666666662963,199.99999999999991,-50.000000000000036,190.30303030303034,-130.375939849624,1
17,80324,0.06896551724133175,-749.9999999999999,-289.99999999999994,-39.999999999999986,-36.91729323308271,0
18,51775,0.4999999999995,399.9999999999999,80.00000000000001,64.24242424242424,101.39097744360903,1
19,113763,0.24528301886783196,50.0,-550.0,-102.42424242424245,22.781954887218053,0
2,235869,0.0,-29.999999999999993,-10.000000000000002,-38.24242424242425,-28.458646616541355,0
3,377558,0.7999999999968,-2.51214793389404e-15,56.0,-11.3939393939394,-23.639097744360903,1
4,190889,0.37499999999531247,-14.999999999999995,-7.000000000000002,-21.878787878787882,-14.413533834586469,0
5,183006,0.8888888888790123,54.99999999999998,51.99999999999999,15.151515151515156,-5.789473684210528,1
6,229361,0.7777777777691358,19.999999999999993,18.0,10.909090909090914,9.977443609022558,1
7,394819,0.0,-129.99999999999994,-183.0,-113.03030303030305,-35.00000000000001,0
8,135077,0.44444444443950615,-9.999999999999996,4.999999999999999,17.09090909090909,-48.57894736842105,1
9,69431,0.38709677419105104,37.499999999999986,-12.000000000000005,-54.939393939393945,-36.281954887218056,0
10,26689133,0.5989010989007698,-79.99999999999996,-152.0,71.75757575757576,116.97744360902259,1
11,2247842,0.5813953488358572,-749.9999999999998,-194.99999999999997,-20.848484848484848,97.72932330827068,0
12,4397119,0.6744186046495944,30.000000000000018,37.0,122.12121212121217,26.481203007518808,1
13,580498,0.16666666666597224,-45.0,-5.000000000000001,-116.54545454545455,-22.917293233082713,0
14,1974556,0.38888888888780865,154.99999999999994,107.99999999999997,58.242424242424256,-38.127819548872175,1
15,834218,0.02380952380946712,-229.99999999999991,-20.000000000000004,-42.545454545454554,-81.67669172932332,0
16,339901,0.03846153846139053,-114.99999999999996,-89.99999999999999,-58.90909090909091,-25.609022556390975,0
